White Player,Black Player,White Depth,Black Depth,White Turn Time,Black Turn Time,Number of Moves,Winning Player
Random AI,Minimax AI,,1.0,7.224082946777344e-05,0.0954389572143554,197,white
Random AI,Minimax AI,,1.0,0.0,0.0207328796386718,34,black
Random AI,Minimax AI,,1.0,0.0001883506774902,0.1172950267791748,307,draw
Random AI,Minimax AI,,1.0,0.0,0.0206000804901123,30,black
Random AI,Minimax AI,,1.0,0.0015714168548583,0.1210119724273681,421,draw
Random AI,Minimax AI,,1.0,0.0,0.0810410976409912,213,white
Random AI,Minimax AI,,1.0,0.0001699924468994,0.0970480442047119,327,draw
Random AI,Minimax AI,,1.0,7.772445678710938e-05,0.0664920806884765,129,white
Random AI,Minimax AI,,1.0,0.0001740455627441,0.0697793960571289,147,white
Random AI,Minimax AI,,1.0,7.534027099609375e-05,0.1578330993652343,397,draw
Random AI,Minimax AI,,1.0,0.0,0.0753958225250244,325,draw
Random AI,Minimax AI,,1.0,0.0,0.1013143062591552,249,draw
Random AI,Minimax AI,,1.0,0.0,0.0790662765502929,297,white
Random AI,Minimax AI,,1.0,0.0,0.0200915336608886,28,black
Random AI,Minimax AI,,1.0,0.0,0.0984108448028564,175,white
Random AI,Minimax AI,,1.0,0.0,0.1079566478729248,237,white
Random AI,Minimax AI,,1.0,7.772445678710938e-05,0.0508201122283935,66,black
Random AI,Minimax AI,,1.0,0.0002739429473876,0.1449329853057861,324,black
Random AI,Minimax AI,,1.0,0.0,0.0555331707000732,82,black
Random AI,Minimax AI,,1.0,0.0033996105194091,0.0974740982055664,447,draw
Random AI,Minimax AI,,1.0,0.0,0.0843417644500732,201,white
Random AI,Minimax AI,,1.0,0.0,0.0666666030883789,66,black
Random AI,Minimax AI,,1.0,0.0,0.0387606620788574,69,white
Random AI,Minimax AI,,1.0,0.0009989738464355,0.0897552967071533,165,white
Random AI,Minimax AI,,1.0,0.0005102157592773,0.1029174327850341,259,draw
Random AI,Minimax AI,,1.0,0.0,0.0873448848724365,643,draw
Random AI,Minimax AI,,1.0,0.0,0.0856165885925293,193,white
Random AI,Minimax AI,,1.0,0.0,0.135876178741455,523,draw
Random AI,Minimax AI,,1.0,0.0,0.0928351879119873,189,white
Random AI,Minimax AI,,1.0,0.0001900196075439,0.0934891700744628,177,white
Random AI,Minimax AI,,1.0,0.0,0.1470935344696045,263,white
Random AI,Minimax AI,,1.0,0.0,0.071329116821289,177,white
Random AI,Minimax AI,,1.0,0.0,0.0251615047454834,34,black
Random AI,Minimax AI,,1.0,0.0,0.0664477348327636,169,draw
Random AI,Minimax AI,,1.0,6.985664367675781e-05,0.0809226036071777,116,black
Random AI,Minimax AI,,1.0,0.0,0.0565187931060791,95,white
Random AI,Minimax AI,,1.0,8.58306884765625e-05,0.1024210453033447,247,white
Random AI,Minimax AI,,1.0,0.0,0.0615992546081543,75,white
Random AI,Minimax AI,,1.0,0.0,0.1086213588714599,217,white
Random AI,Minimax AI,,1.0,0.0,0.1593039035797119,343,draw
Random AI,Minimax AI,,1.0,0.0,0.0690455436706543,205,white
Random AI,Minimax AI,,1.0,0.000568151473999,0.0652177333831787,421,draw
Random AI,Minimax AI,,1.0,0.0,0.0728442668914794,103,white
Random AI,Minimax AI,,1.0,0.0,0.0537867546081543,95,white
Random AI,Minimax AI,,1.0,0.0,0.0572531223297119,135,white
Random AI,Minimax AI,,1.0,0.0,0.1081101894378662,201,white
Random AI,Minimax AI,,2.0,0.0023195743560791,7.6777427196502686,338,black
Random AI,Minimax AI,,2.0,0.0001332759857177,0.8112483024597168,48,black
Random AI,Minimax AI,,2.0,0.0005061626434326,4.757805109024048,218,black
Random AI,Minimax AI,,2.0,0.0,3.140112400054932,162,black
Random AI,Minimax AI,,2.0,0.0,0.6937742233276367,38,black
Random AI,Minimax AI,,2.0,0.0009996891021728,6.303256511688232,372,black
Random AI,Minimax AI,,2.0,0.0041122436523437,4.947059154510498,302,black
Random AI,Minimax AI,,2.0,0.0020046234130859,0.5393054485321045,36,black
Random AI,Minimax AI,,2.0,0.0116128921508789,10.101459264755247,488,black
Random AI,Minimax AI,,2.0,0.0,0.5608539581298828,32,black
Random AI,Minimax AI,,2.0,0.0026118755340576,3.0174543857574463,150,black
Random AI,Minimax AI,,2.0,0.0,0.351020336151123,22,black
Random AI,Minimax AI,,2.0,0.0,0.8273775577545166,46,black
Random AI,Minimax AI,,2.0,0.0040569305419921,6.263822555541992,354,black
Random AI,Minimax AI,,2.0,0.0020089149475097,1.7488620281219482,83,draw
Random AI,Minimax AI,,2.0,0.0,0.5702972412109375,34,black
Random AI,Minimax AI,,2.0,0.0026872158050537,4.396792411804199,214,black
Random AI,Minimax AI,,2.0,6.580352783203125e-05,0.780444860458374,44,black
Random AI,Minimax AI,,2.0,0.0010013580322265,0.3763136863708496,24,black
Random AI,Minimax AI,,2.0,0.0026721954345703,2.8108670711517334,156,black
Random AI,Minimax AI,,2.0,0.0030031204223632,5.872606992721558,294,black
Random AI,Minimax AI,,2.0,0.0046005249023437,4.908466339111328,210,draw
Random AI,Minimax AI,,2.0,0.0040023326873779,3.574457883834839,178,black
Random AI,Minimax AI,,2.0,0.0009999275207519,1.6994502544403076,94,black
Random AI,Minimax AI,,2.0,0.0095512866973876,1.071702003479004,62,black
Random AI,Minimax AI,,2.0,0.0303130149841308,3.102854013442993,166,black
Random AI,Minimax AI,,2.0,0.0055742263793945,1.1775362491607666,50,black
Random AI,Minimax AI,,2.0,0.0016009807586669,0.9702563285827636,58,black
Random AI,Minimax AI,,2.0,0.0100219249725341,1.2114310264587402,62,black
Random AI,Minimax AI,,2.0,0.002087116241455,0.6405737400054932,34,black
Random AI,Minimax AI,,2.0,0.007026195526123,2.776519775390625,148,black
Random AI,Minimax AI,,2.0,0.0211014747619628,3.732986688613892,162,black
Random AI,Minimax AI,,2.0,0.0174622535705566,2.3624162673950195,158,black
Random AI,Minimax AI,,2.0,0.0081734657287597,1.2223243713378906,58,black
Random AI,Minimax AI,,2.0,0.0253691673278808,5.320136547088623,366,black
Random AI,Minimax AI,,2.0,0.0100481510162353,9.331428289413452,713,draw
Random AI,Minimax AI,,2.0,0.0009999275207519,0.6741502285003662,30,black
Random AI,Minimax AI,,2.0,0.0010023117065429,2.4116573333740234,120,black
Random AI,Minimax AI,,2.0,0.0010037422180175,0.3148412704467773,18,black
Random AI,Minimax AI,,2.0,0.0,1.1261672973632812,54,black
Random AI,Minimax AI,,2.0,0.0009999275207519,1.9311680793762207,102,black
Random AI,Minimax AI,,2.0,0.0055220127105712,5.944048643112183,260,black
Random AI,Minimax AI,,2.0,0.0002400875091552,2.225700616836548,120,black
Random AI,Minimax AI,,2.0,0.00411057472229,4.803865432739258,292,black
Random AI,Minimax AI,,2.0,0.0,1.7195310592651367,72,black
Random AI,Minimax AI,,2.0,6.246566772460938e-05,2.5414888858795166,138,black
Random AI,Minimax AI,,2.0,0.0030786991119384,4.799753665924072,196,black
Random AI,Minimax AI,,2.0,0.0021724700927734,3.392178535461426,136,black
Random AI,Minimax AI,,2.0,0.0030038356781005,4.557642221450806,198,black
Random AI,Minimax AI,,2.0,0.0020864009857177,2.688983917236328,98,black
Random AI,Minimax AI,,3.0,0.0009989738464355,13.51234769821167,80,black
Random AI,Minimax AI,,3.0,0.0015871524810791,18.47034478187561,154,black
Random AI,Minimax AI,,3.0,0.001004934310913,10.981215715408323,96,black
Random AI,Minimax AI,,3.0,0.002577781677246,8.918248176574707,143,white
Random AI,Minimax AI,,3.0,0.003568410873413,21.38950061798096,122,black
Random AI,Minimax AI,,3.0,0.0120220184326171,45.581777811050415,1001,draw
Random AI,Minimax AI,,3.0,0.0,6.166580677032471,40,black
Random AI,Minimax AI,,3.0,0.0040028095245361,17.779753923416138,114,black
Random AI,Minimax AI,,3.0,0.0009996891021728,7.750954866409302,48,black
Random AI,Minimax AI,,3.0,0.0010068416595458,16.389028549194336,90,black
Random AI,Minimax AI,,3.0,0.0002219676971435,16.666364192962646,102,black
Random AI,Minimax AI,,3.0,0.0,2.6037521362304688,26,black
Random AI,Minimax AI,,3.0,0.0024352073669433,26.76906085014344,244,black
Random AI,Minimax AI,,3.0,0.0,9.687009572982788,72,black
Random AI,Minimax AI,,3.0,0.0020020008087158,10.907130479812622,64,black
Random AI,Minimax AI,,3.0,0.001004934310913,9.083534717559814,76,black
Random AI,Minimax AI,,3.0,0.0020015239715576,12.112862586975098,92,black
Random AI,Minimax AI,,3.0,0.0,8.177300214767456,64,black
Random AI,Minimax AI,,3.0,0.0026078224182128,16.89300847053528,106,black
Random AI,Minimax AI,,3.0,0.0070114135742187,34.514392375946045,312,black
